# frame, X, Y, Intensity
0 89.2603 54.1255 742.0
0 202.9769 149.0114 267.0
0 33.3365 108.4462 547.0
0 248.9001 28.5361 610.0
0 155.9084 69.3925 465.0
0 272.1035 41.1424 484.0
0 94.8734 197.2477 785.0
0 25.4323 230.1169 766.0
0 91.1346 32.0977 354.0
0 77.1908 203.0354 571.0
0 25.2225 80.2383 477.0
0 34.9838 54.1057 299.0
0 156.8883 164.4423 462.0
0 280.0529 192.5191 478.0
0 9.9926 64.9416 382.0
0 56.1406 220.9635 735.0
0 291.6649 84.2242 526.0
0 126.6425 213.9579 586.0
0 36.1913 234.8706 454.0
0 56.6910 92.2603 578.0
0 50.9279 16.0531 306.0
0 108.5216 203.7266 548.0
1 248.8606 28.3196 870.0
1 228.4683 64.8492 488.0
1 106.1792 94.8632 340.0
1 280.0999 191.4971 510.0
1 103.7778 193.2771 804.0
1 35.2365 53.8715 456.0
1 123.9767 244.2689 337.0
1 93.8262 54.2290 641.0
1 150.3596 169.0775 530.0
1 25.1461 79.3898 465.0
1 120.5844 116.9386 472.0
1 14.3308 239.1582 525.0
1 195.0620 188.8592 665.0
1 287.2497 136.0464 414.0
1 190.5409 177.6017 796.0
1 105.5903 220.6586 682.0
1 34.0058 107.2586 661.0
1 28.3391 32.0213 407.0
2 133.8569 72.2585 807.0
2 87.4452 187.9639 687.0
2 259.1399 57.8679 376.0
2 151.0420 76.0209 490.0
2 163.8061 48.2595 736.0
2 261.8379 87.4263 463.0
2 133.0307 227.4703 680.0
2 153.2503 52.1543 620.0
2 157.1235 163.7121 631.0
2 64.9483 223.5342 960.0
2 137.8191 187.1238 583.0
2 96.4295 11.8687 425.0
2 103.2459 29.9824 492.0
2 29.0012 16.0152 472.0
2 109.3899 108.5021 566.0
2 54.8785 23.3055 496.0
2 203.7993 224.1669 848.0
2 108.9693 193.4562 454.0
2 231.0824 133.2827 445.0
2 5.6313 225.5886 763.0
2 93.4444 199.1062 547.0
2 190.6832 231.9060 832.0
3 152.6541 52.1068 877.0
3 159.1475 59.6248 584.0
3 88.1284 226.5578 799.0
3 246.2476 118.8826 678.0
3 211.9225 183.5438 541.0
3 27.0990 16.1872 725.0
